Date,Person,Licor Unit,Accession,Genus,Species,Photo,Cond,Ci,Ci_Pa,Ci/Ca,Tleaf,Tair,VpdL,RH_S,PARi,PARo
5/21/2018,CC,Thelypteris,97957A,Cycas,maconochiei-lanata,15.0055921,0.19015611,257.2985162,26.14937022,0.643188967,29.25171709,28.74112606,0.927178311,79.61109289,1300,117.1503426
5/21/2018,CC,Thelypteris,97957D,Cycas,maconochiei-lanata,15.38300756,0.187567288,252.547877,25.66485657,0.631397537,29.25471163,28.6886692,0.938037391,79.59430822,1300,115.8825318
5/25/2018,AS,Botrychium,97968B,Cycas,maconochiei-lanata,12.85750613,0.161138393,257.3124911,26.13833418,0.643072393,29.69082594,28.92560959,0.95992764,80.56226095,1300,124.0014397
5/25/2018,CK,Thelypteris,97968D,Cycas,maconochiei-lanata,15.35367836,0.206189156,267.9100948,27.21254396,0.669902346,29.98719025,29.7678833,1.010444017,77.23336792,1300,56.11338425
5/18/2018,CK,Polistichum,95380C,Cycas,macrocarpa,5.851552589,0.050120758,198.1049563,20.11661186,0.495289767,30.30274328,28.96749846,1.724530256,64.99587472,1300,17.12358104
5/18/2018,CC,Martin,95381A,Cycas,macrocarpa,6.07278435,0.059305987,218.1787956,22.15770814,0.544952246,30.05108484,28.90716807,2.07375507,54.96432718,1300,4.4589738
5/18/2018,CC,Martin,96753C,Cycas,macrocarpa,5.094318915,0.048767939,216.7953942,22.01812257,0.541961692,29.87521776,28.80321376,2.068727876,54.32339891,1300,4.46336962
5/18/2018,CK,Polistichum,98974B,Cycas,macrocarpa,4.602776515,0.039190361,192.8222238,19.57938247,0.481549049,30.01053079,28.92595545,1.699817452,63.97719034,1300,18.02644454
5/18/2018,CC,Martin,98974K,Cycas,macrocarpa,6.689114937,0.06520638,217.2528892,22.06526667,0.54273557,29.86368211,28.81803099,2.020170951,55.43480333,1300,4.414122229
5/18/2018,CC,Martin,98974M,Cycas,macrocarpa,5.089792658,0.043101622,192.0057855,19.50078391,0.479769465,30.03576787,28.90293948,2.08793039,54.52896531,1300,4.45823889
